id	isolate	aliases	country	year	isolation date	disease	source	epidemiology	penner	aspA	glnA	gltA	glyA	pgm	tkt	uncA	ST	clonal complex
8062	PI-42-6		China	2005		carrier	human stool	hospital inpatient		55	172	21	49	125	83	6	4250	
8063	PO-1-4		China	2006		carrier	human stool	carrier		8	2	5	2	11	3	6	4251	ST-607 complex
8064	JDSXD0904-1		China	2009		carrier	duck	carrier		37	52	57	26	127	25	23	4252	ST-692 complex
8065	XN-4-2		China	2006		carrier	cattle	carrier		2	17	52	3	2	1	5	4253	ST-21 complex
8066	JDSXD0904-4		China	2009		carrier	duck	carrier		37	52	57	26	129	25	23	4254	ST-692 complex
8067	SC-5-8		China	2006		carrier	cattle	carrier		62	3	6	331	3	75	3	4255	ST-22 complex
8068	SQXN-6		China	2006		carrier	cattle	carrier		8	2	2	212	153	3	147	4256	
8069	WJG0904-2		China	2009		carrier	goose	carrier		8	52	225	26	127	29	23	4257	ST-692 complex
8070	JDJ0904-10		China	2009		carrier	chicken	carrier		2	2	2	10	10	59	5	4258	
8071	SG0811-1		China	2008		carrier	goose	carrier		8	10	2	2	13	12	6	4259	ST-354 complex
8072	CW0803-3		China	2008		carrier	dog	carrier		55	21	2	71	4	37	3	4260	
8073	SO0705-1		China	2007		carrier	human stool	carrier		14	21	2	10	153	3	6	4261	ST-52 complex
8074	SI0705-1		China	2007		carrier	human stool	hospital inpatient		2	217	52	3	23	100	5	4262	
8075	SI0712-1		China	2007		carrier	human stool	hospital inpatient		14	21	2	10	23	3	6	4263	ST-52 complex
8076	PO0711-1		China	2007		carrier	human stool	carrier		9	30	2	15	89	59	6	4264	ST-460 complex
8077	YZD-11		China	2006		carrier	chicken	carrier		9	2	6	15	22	3	6	4265	ST-52 complex
8078	PO0804-2		China	2008		carrier	human stool	carrier		2	59	4	27	126	7	23	4266	
8079	AHC0909-G8		China	2009			chicken offal or meat			7	17	2	2	22	3	12	4267	ST-353 complex
8080	PO0805-1		China	2008		carrier	human stool	carrier		60	69	52	10	90	3	6	4268	
8081	B165157	421	The Netherlands	2002		gastroenteritis	human stool	sporadic case		9	17	5	10	10	3	1	4269	ST-353 complex
8082	BR0215-149	2278	The Netherlands	2002		gastroenteritis	human stool	sporadic case		8	2	2	212	258	370	147	4270	
8083	02-O072141	3502	The Netherlands	2002		gastroenteritis	human stool	sporadic case		8	1	52	3	2	1	1	4271	ST-21 complex
8084	BO0224-1088	2422	The Netherlands	2002		gastroenteritis	human stool	sporadic case		4	7	10	4	5	7	1	4272	ST-45 complex
8085	B248395	4215	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	285	3	2	1	5	4273	ST-21 complex
8086	B249576	4221	The Netherlands	2002		gastroenteritis	human stool	sporadic case		247	39	134	82	104	35	17	4274	ST-828 complex
8087	2408697	4469	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	52	220	26	372	24	35	4275	
8088	42558	1077	The Netherlands	2002		gastroenteritis	human stool	sporadic case		4	7	10	4	42	7	267	4276	ST-45 complex
8089	BM0227-71	2662	The Netherlands	2002		gastroenteritis	human stool	sporadic case		9	25	2	10	22	304	6	4277	ST-52 complex
8090	B166392	752	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	36	5	62	23	67	6	4278	
8091	659463X	5020	The Netherlands	2002		gastroenteritis	human stool	sporadic case		27	22	22	376	43	86	31	4279	ST-1275 complex
8092	2013524	4367	The Netherlands	2002		gastroenteritis	human stool	sporadic case		9	2	4	62	4	59	6	4280	ST-257 complex
8093	050124R	4747	The Netherlands	2002		gastroenteritis	human stool	sporadic case		24	30	286	2	89	402	6	4281	ST-460 complex
8094	B254010	4246	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	257	4	243	2	48	35	4282	
8095	BR0234-45	2257	The Netherlands	2002		gastroenteritis	human stool	sporadic case		33	38	30	82	188	47	41	4283	
8096	MC02330703	3283	The Netherlands	2002		gastroenteritis	human stool	sporadic case		114	110	30	79	188	164	79	4284	
8097	203241G	11	The Netherlands	2002		gastroenteritis	human stool	sporadic case		33	39	65	79	104	403	41	4285	
8098	203202J	15	The Netherlands	2002		gastroenteritis	human stool	sporadic case		8	1	1	3	11	1	1	4286	ST-21 complex
8099	050809Y	4754	The Netherlands	2002		gastroenteritis	human stool	sporadic case		181	17	52	10	11	3	6	4287	
8100	666060K	5052	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	2	5	2	58	3	6	4288	ST-353 complex
8101	2411657	4097	The Netherlands	2002		gastroenteritis	human stool	sporadic case		24	30	5	72	2	5	39	4289	
8102	0208+29014	960	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	21	5	2	2	1	5	4290	ST-206 complex
8103	202437O	6031	The Netherlands	2002		gastroenteritis	human stool	sporadic case		33	327	30	79	113	43	17	4291	ST-828 complex
8104	202496T	6036	The Netherlands	2002		gastroenteritis	human stool	sporadic case		8	1	17	3	23	1	1	4292	
8105	2413348	4665	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	21	2	2	86	3	1	4293	ST-464 complex
8106	202971X	5791	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	71	5	62	2	67	285	4294	
8107	204018V	165	The Netherlands	2002		gastroenteritis	human stool	sporadic case		24	21	2	2	482	59	6	4295	ST-460 complex
8108	MC02410119	3348	The Netherlands	2002		gastroenteritis	human stool	sporadic case		8	17	2	306	153	253	147	4296	
8109	F02001743	5625	The Netherlands	2002		gastroenteritis	human stool	sporadic case		9	25	287	10	22	3	6	4297	ST-52 complex
8110	224615O	1633	The Netherlands	2002		gastroenteritis	human stool	sporadic case		6	4	5	2	4	282	5	4298	
8111	677572C	5127	The Netherlands	2002		gastroenteritis	human stool	sporadic case		33	39	66	79	104	219	17	4299	ST-828 complex
8112	73020	1247	The Netherlands	2002		gastroenteritis	human stool	sporadic case		37	1	29	64	131	24	23	4300	
8113	MC02460491	3387	The Netherlands	2002		gastroenteritis	human stool	sporadic case		33	39	240	79	483	43	17	4301	ST-828 complex
8114	2020441	4338	The Netherlands	2002		gastroenteritis	human stool	sporadic case		8	2	5	53	480	3	1	4302	ST-607 complex
8115	02-B060040	3686	The Netherlands	2002		gastroenteritis	human stool	sporadic case		1	17	2	15	484	3	1	4303	ST-443 complex
8116	2002.1.75877.9	3081	The Netherlands	2002		gastroenteritis	human stool	sporadic case		33	39	30	79	243	43	17	4304	ST-828 complex
8117	B167972	609	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	71	5	62	11	67	269	4305	
8118	228424	1646	The Netherlands	2002		gastroenteritis	human stool	sporadic case		245	1	12	3	2	1	5	4306	ST-21 complex
8119	2002.186284.0	3125	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	4	4	105	455	25	57	4307	
8120	100316	4820	The Netherlands	2002		gastroenteritis	human stool	sporadic case		123	91	194	261	339	208	173	4308	
8121	B270159	5451	The Netherlands	2003		gastroenteritis	human stool	sporadic case		33	39	150	82	248	35	17	4309	ST-828 complex
8122	2003.1.11256.0	2704	The Netherlands	2003		gastroenteritis	human stool	sporadic case		7	17	265	15	23	3	12	4310	ST-443 complex
8123	2003.1.15777.6	2750	The Netherlands	2003		gastroenteritis	human stool	sporadic case		2	71	5	62	11	12	6	4311	
8124	0303+31107	913	The Netherlands	2003		gastroenteritis	human stool	sporadic case		33	38	44	82	104	43	132	4312	ST-828 complex
8125	2003.1.20928.3	2736	The Netherlands	2003		gastroenteritis	human stool	sporadic case		33	39	30	79	113	12	17	4313	ST-828 complex
8126	B169535	667	The Netherlands	2003		gastroenteritis	human stool	sporadic case		2	28	29	64	486	267	124	4314	
8127	154		The Netherlands	2005		carrier	chicken	carrier		22	28	4	64	363	3	35	4315	
8128	155		The Netherlands	2005		carrier	chicken	carrier		32	38	30	79	104	43	36	4316	
8129	232		The Netherlands	2005		carrier	chicken	carrier		8	1	6	3	2	157	1	4317	
8130	474		The Netherlands	2005		carrier	chicken	carrier		33	38	293	79	188	47	41	4318	
8131	576		The Netherlands	2005		carrier	chicken	carrier		7	97	5	2	135	3	26	4319	ST-353 complex
8132	579		The Netherlands	2005		carrier	chicken	carrier		80	22	20	377	134	111	286	4320	
8133	Camp0247		The Netherlands	2006		carrier	chicken	carrier		33	39	30	82	113	1	17	4321	ST-828 complex
8134	Camp0274		The Netherlands	2006		carrier	chicken	carrier		22	247	4	28	363	29	35	4322	
8135	XZJ0811-2		China	2008		carrier	chicken	carrier		2	2	2	10	10	404	5	4323	
8136	XZJ0811-3		China	2008		carrier	chicken	carrier		24	2	288	72	22	405	6	4324	
8137	AQM-16		China	2006		carrier	chicken	carrier		24	2	2	72	22	405	6	4325	
8138	PO-61-9		China	2005		carrier	human stool	carrier		260	2	5	2	10	3	6	4326	ST-353 complex
8139	PO-17-7		China	2005		carrier	human stool	carrier		24	2	2	72	22	406	6	4327	
8140	d-1-13		China	2006		carrier	chicken	carrier		60	345	2	2	23	3	6	4328	
8141	LHG0901-1		China	2009		carrier	goose	carrier		37	52	57	26	127	407	23	4329	ST-692 complex
8142	XN-4-1		China	2006		carrier	cattle	carrier		10	346	290	19	10	132	7	4330	ST-403 complex
8143	PO-43-8		China	2005		carrier	human stool	carrier		7	2	5	10	11	408	1	4331	ST-607 complex
8144	SO-9-3		China	2005		carrier	human stool	carrier		24	347	2	15	23	12	12	4332	ST-443 complex
8145	RGD0907-11		China	2009		carrier	duck	carrier		37	61	291	26	127	24	35	4333	
8146	CW0805-1		China	2008		carrier	dog	carrier		37	348	292	26	485	29	23	4334	ST-692 complex
8147	NTD0907-A27		China	2009		carrier	duck	carrier		22	349	80	48	127	34	35	4335	
8148	580		The Netherlands	2002		gastroenteritis	human stool	sporadic case		80	22	20	377	134	111	286	4320	
8149	591		The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	97	5	2	135	3	26	4319	ST-353 complex
8150	42909	1082	The Netherlands	2002		gastroenteritis	human stool	sporadic case		9	17	5	10	10	3	1	4269	ST-353 complex
8151	73107	1248	The Netherlands	2002		gastroenteritis	human stool	sporadic case		37	1	29	64	131	24	23	4300	
8152	82690	1269	The Netherlands	2002		gastroenteritis	human stool	sporadic case		9	25	287	10	22	3	6	4297	ST-52 complex
8153	2018951	5703	The Netherlands	2002		gastroenteritis	human stool	sporadic case		8	1	17	3	23	1	1	4292	
8154	052881W	4765	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	21	5	2	2	1	5	4290	ST-206 complex
8155	2002.1.53205.0	2950	The Netherlands	2002		gastroenteritis	human stool	sporadic case		37	52	57	26	127	25	23	4252	ST-692 complex
8156	2002.1.59784.0	2779	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	21	5	2	2	1	5	4290	ST-206 complex
8157	2002.1.61758.9	3077	The Netherlands	2002		gastroenteritis	human stool	sporadic case		8	1	17	3	23	1	1	4292	
8158	2002.1.76469.5	3086	The Netherlands	2002		gastroenteritis	human stool	sporadic case		8	2	5	53	480	3	1	4302	ST-607 complex
8159	305021T	1676	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	21	5	2	2	1	5	4290	ST-206 complex
8160	B167117	535	The Netherlands	2002		gastroenteritis	human stool	sporadic case		8	1	17	3	23	1	1	4292	
8161	B167220	524	The Netherlands	2002		gastroenteritis	human stool	sporadic case		8	1	17	3	23	1	1	4292	
8162	B168360	593	The Netherlands	2002		gastroenteritis	human stool	sporadic case		8	2	5	53	480	3	1	4302	ST-607 complex
8163	BA0239-17	2555	The Netherlands	2003		gastroenteritis	human stool	sporadic case		8	1	17	3	23	1	1	4292	
8164	BD0239-49	1839	The Netherlands	2005		carrier	chicken	carrier		7	21	5	2	2	1	5	4290	ST-206 complex
8165	MC02410119	3348	The Netherlands	2005		carrier	chicken	carrier		8	1	17	3	23	1	1	4292	
8166	N1b		New Zealand	2008			environmental waters			1	350	5	332	261	293	3	4336	
8167	H961		New Zealand	2009			human stool			2	1	1	380	2	1	5	4337	ST-21 complex
8168	S396a		New Zealand	2008			sheep			2	351	12	88	2	1	5	4338	ST-21 complex
8169	X34		New Zealand	2009			duck			2	352	84	105	126	25	57	4339	
8170	P913a		New Zealand	2009			duck			8	52	57	26	74	29	287	4340	ST-692 complex
8171	P833		New Zealand	2009			duck			22	146	29	26	487	25	23	4341	
8172	NS102		New Zealand	2009			environmental waters			237	306	254	340	433	410	288	4342	
8173	P836		New Zealand	2009			duck			263	61	120	64	488	29	23	4343	
8174	PO-19-9		China	2005		carrier	human stool	carrier		24	114	2	378	11	3	3	4344	ST-574 complex
8175	ALM-52		China	2006		carrier	chicken	carrier		262	30	2	379	89	3	6	4345	ST-460 complex
8176	SO-61-1		China	2005		carrier	human stool	carrier		261	2	289	10	10	409	1	4346	
8177	001B-0396		Canada	2007		carrier	chicken offal or meat	carrier		1	7	40	4	224	51	1	4347	ST-283 complex
8178	007A-0509		Canada	2005			environmental waters	environmental isolate		7	17	2	2	6	3	5	4348	ST-61 complex
8179	007A-0518		Canada	2005			environmental waters	environmental isolate		37	15	75	48	126	25	23	4349	
8180	007A-0551		Canada	2006			environmental waters	environmental isolate		27	2	22	104	122	86	31	4350	
8181	007A-0568		Canada	2005			environmental waters	environmental isolate		254	70	77	97	115	86	47	4351	
8182	007A-0579		Canada	2006			environmental waters	environmental isolate		18	353	22	97	115	86	47	4352	
8183	012A-0105		Canada	2007		carrier	goose	carrier		2	165	73	2	220	190	104	4353	
8184	Duck141		UK	2007			duck			135	188	69	113	276	126	152	3824	
8185	Duck160		UK	2007			duck			81	39	69	113	276	43	152	3830	
8186	Duck314		UK	2007			duck			33	39	167	113	265	219	67	3827	
8187	Duck404		UK	2007			duck			81	86	87	113	270	209	152	3829	
8188	Duck134		UK	2007			duck			86	314	239	330	418	129	261	3822	
8189	Duck137		UK	2007			duck			86	314	239	330	418	129	156	3823	
8190	Duck149		UK	2007			duck			128	274	233	347	421	208	235	3825	
8191	Duck393		UK	2007			duck			209	189	86	124	422	244	153	3828	
8192	Duck264		UK	2007			duck			89	86	236	198	398	209	157	3826	
8193	134		Denmark	2009			goose			10	33	269	49	43	82	31	4534	ST-1275 complex
8194	97		Denmark	2009			goose			10	7	269	4	261	3	50	4535	
8195	148		Denmark	2009			goose			37	52	4	64	129	29	23	4536	ST-692 complex
8196	5		Denmark	2009			chicken			2	29	4	27	10	25	57	704	
8197	9		Denmark	2009			chicken			3	1	5	17	11	11	6	49	ST-49 complex
8198	11		Denmark	2009			chicken			2	1	12	3	2	1	5	50	ST-21 complex
8199	23		Denmark	2009			goose			22	146	4	64	74	25	23	1255	ST-1034 complex
8200	42		Denmark	2009			chicken			4	7	10	4	1	7	1	45	ST-45 complex
8201	79		Denmark	2009			goose			2	61	4	64	74	25	23	1034	ST-1034 complex
8202	128		Denmark	2009			goose			2	15	4	48	13	25	23	2611	ST-1034 complex
8203	195		Denmark	2009			goose			3	1	5	17	11	11	6	49	ST-49 complex
8204	215		Denmark	2009			goose			2	1	84	3	19	25	57	2221	
8205	234		Denmark	2009			goose			4	7	10	4	1	7	1	45	ST-45 complex
8206	241		Denmark	2009			goose			2	29	4	48	13	24	57	693	
8207	226		Denmark	2009			goose			2	61	4	381	489	32	23	4354	ST-1034 complex
8208	NP-12		Thailand	2008		gastroenteritis	human stool			7	21	5	62	4	61	44	436	
8209	MC-48		Thailand	2008		gastroenteritis	human stool			172	2	2	2	10	3	1	2332	ST-464 complex
8210	MC-51		Thailand	2008		gastroenteritis	human stool			2	1	12	3	2	1	5	50	ST-21 complex
8211	MC-55		Thailand	2008		gastroenteritis	human stool			24	2	2	2	10	3	1	464	ST-464 complex
8212	MRA16_21		Spain	2004			environmental waters			136	104	88	113	266	238	95	4356	
8213	MC-30		Thailand	2008		gastroenteritis	human stool			2	84	27	68	2	3	5	1726	
8214	MC-79		Thailand	2008		gastroenteritis	human stool			8	10	2	2	11	12	6	354	ST-354 complex
8215	NP-2		Thailand	2008		gastroenteritis	human stool			7	17	2	15	23	3	12	51	ST-443 complex
8216	MC-50		Thailand	2008		gastroenteritis	human stool			2	1	12	3	2	1	5	50	ST-21 complex
8217	MC-43		Thailand	2008		gastroenteritis	human stool			1	3	6	4	3	3	3	22	ST-22 complex
8218	NP-30		Thailand	2008		gastroenteritis	human stool			7	53	2	10	11	3	3	574	ST-574 complex
8219	MC-74		Thailand	2008		gastroenteritis	human stool			1	3	6	4	3	3	3	22	ST-22 complex
8220	NP-33		Thailand	2008		gastroenteritis	human stool			9	17	2	382	11	3	6	4357	ST-52 complex
8221	562		Thailand	2002			chicken			9	2	2	10	10	3	5	1919	ST-52 complex
8222	568		Thailand	2002			chicken			9	2	2	10	10	59	5	2276	
8223	572		Thailand	2002			chicken			9	2	2	10	10	59	5	2276	
8224	542		Thailand	2002			chicken			166	2	1	10	11	3	1	2921	ST-607 complex
8225	610		Thailand	2002			chicken			166	2	1	10	11	3	1	2921	ST-607 complex
8226	52		Thailand	2002			chicken			8	10	2	40	11	12	6	4358	ST-354 complex
8227	M62_11		Spain	2005			environmental waters			7	2	5	2	10	12	6	2236	ST-353 complex
8228	M61_32		Spain	2005			environmental waters			8	10	2	10	11	12	6	969	ST-354 complex
8229	MRA52_100.1		Spain	2005			environmental waters			17	2	8	5	8	2	4	177	ST-177 complex
8230	OXC4676		UK	2009		gastroenteritis	human stool			1	355	42	4	90	25	8	4359	
8231	001B-0138		Canada	2005		carrier	chicken offal or meat	carrier		103	110	30	140	210	164	79	4360	ST-1150 complex
8232	007A-0615		Canada	2006			environmental waters	environmental isolate		255	339	279	383	479	391	276	4361	
8233	012A-0102		Canada	2007		carrier	wild bird	carrier		10	33	164	49	11	82	31	4362	ST-1275 complex
8234	206		Thailand	2002			chicken			7	53	2	10	11	3	3	574	ST-574 complex
8235	380		Thailand	2002			chicken			7	17	2	10	11	3	6	4363	ST-574 complex
8236	553		Thailand	2002			chicken			7	17	5	10	11	3	6	1232	ST-353 complex
8237	007A-0599		Canada	2006			environmental waters	environmental isolate		1	22	63	384	40	7	1	4364	
8238	007A-0730		Canada	2006			environmental waters	environmental isolate		243	324	280	370	493	389	277	4365	
8239	007A-0799		Canada	2006			environmental waters	environmental isolate		35	43	281	5	8	46	21	4366	
8240	007A-1187		Canada	2007			environmental waters	environmental isolate		244	343	272	366	474	399	289	4367	
8241	12156-1		USA	2009			goose			2	59	4	48	131	25	283	4368	
8242	91974		USA	2010			wild bird			27	33	22	49	43	9	31	1223	ST-1275 complex
8243	1279		USA	2007			chicken offal or meat			7	17	5	2	13	386	5	4376	ST-353 complex
8244	21746	bn_1	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	1	3	2	1	5	21	ST-21 complex
8245	22268	bn_2	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	4	2	2	6	1	5	38	ST-48 complex
8246	BM0215-103	bn_5	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	52	3	2	100	5	760	ST-21 complex
8247	B165193	bn_7	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	2	5	2	10	3	6	5	ST-353 complex
8248	B165222	bn_9	The Netherlands	2002		gastroenteritis	human stool	sporadic case		190	55	5	10	11	68	6	2968	ST-446 complex
8249	2005201	bn_10	The Netherlands	2003		gastroenteritis	human stool	sporadic case		6	4	5	2	2	1	5	122	ST-206 complex
8250	2002.1.23284.4	bn_11	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	12	3	2	1	5	50	ST-21 complex
8251	24466	bn_12	The Netherlands	2002		gastroenteritis	human stool	sporadic case		62	4	5	2	2	1	5	572	ST-206 complex
8252	24390	bn_13	The Netherlands	2002		gastroenteritis	human stool	sporadic case		1	6	60	24	12	28	1	508	ST-508 complex
8253	24326	bn_16	The Netherlands	2002		gastroenteritis	human stool	sporadic case		9	17	5	10	11	3	3	2031	ST-574 complex
8254	02-B018338	bn_17	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	21	3	2	1	5	53	ST-21 complex
8255	BO0216-1035	bn_21	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	17	5	10	10	177	6	1233	ST-353 complex
8256	24838	bn_25	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	12	3	11	1	5	1728	ST-21 complex
8257	26038	bn_26	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	17	2	15	23	3	12	51	ST-443 complex
8258	24308	bn_27	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	10	3	2	1	5	141	ST-21 complex
8259	2002.1.27164.9	bn_28	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	1	3	2	1	5	21	ST-21 complex
8260	2002.1.24404.0	bn_29	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	1	3	2	1	5	21	ST-21 complex
8261	02K001654	bn_32	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	1	3	2	1	5	21	ST-21 complex
8262	B242320	bn_36	The Netherlands	2002		gastroenteritis	human stool	sporadic case		9	2	42	4	11	9	253	3630	
8263	045071L	bn_42	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	1	3	2	1	5	21	ST-21 complex
8264	02K002072	bn_51	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	2	5	2	10	3	6	5	ST-353 complex
8265	2406399	bn_63	The Netherlands	2002		gastroenteritis	human stool	sporadic case		9	2	2	2	11	5	6	824	ST-257 complex
8266	2006869	bn_65	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	1	3	2	1	5	21	ST-21 complex
8267	2006894	bn_66	The Netherlands	2002		gastroenteritis	human stool	sporadic case		1	2	3	4	5	9	3	42	ST-42 complex
8268	211159Z	bn_67	The Netherlands	2002		gastroenteritis	human stool	sporadic case		4	7	10	4	42	7	1	137	ST-45 complex
8269	BS20-37	bn_70	The Netherlands	2002		gastroenteritis	human stool	sporadic case		8	17	5	2	10	59	6	400	ST-353 complex
8270	BE0221-117	bn_71	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	2	6	10	78	37	1	380	
8271	BA0221-165	bn_75	The Netherlands	2002		gastroenteritis	human stool	sporadic case		4	7	40	4	42	51	1	267	ST-283 complex
8272	211300Z	bn_76	The Netherlands	2002		gastroenteritis	human stool	sporadic case		4	7	10	1	1	7	1	25	ST-45 complex
8273	B165795	bn_77	The Netherlands	2002		gastroenteritis	human stool	sporadic case		10	27	43	19	6	18	7	270	ST-403 complex
8274	2009273	bn_78	The Netherlands	2002		gastroenteritis	human stool	sporadic case		64	70	68	97	122	106	16	801	
8275	33840	bn_79	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	1	3	2	1	5	21	ST-21 complex
8276	32228	bn_80	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	17	5	2	10	3	6	353	ST-353 complex
8277	2406744	bn_83	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	25	1	4	19	62	5	2156	
8278	33437	bn_87	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	1	3	2	1	5	21	ST-21 complex
8279	32600	bn_88	The Netherlands	2002		gastroenteritis	human stool	sporadic case		6	4	5	2	2	1	5	122	ST-206 complex
8280	32552	bn_89	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	4	1	2	7	1	5	48	ST-48 complex
8281	34039	bn_90	The Netherlands	2002		gastroenteritis	human stool	sporadic case		4	7	10	4	1	7	1	45	ST-45 complex
8282	BE0221-158	bn_92	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	12	3	2	1	5	50	ST-21 complex
8283	BM0222-80	bn_93	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	2	6	10	78	37	1	380	
8284	BE0222-217		The Netherlands	2002		gastroenteritis	human stool			2	1	12	3	2	1	5	50	ST-21 complex
8285	0205+23024	bn_102	The Netherlands	2002		gastroenteritis	human stool	sporadic case		24	21	2	2	89	59	6	606	ST-460 complex
8286	34801	bn_103	The Netherlands	2002		gastroenteritis	human stool	sporadic case		10	2	107	137	120	76	1	1080	
8287	35110	bn_105	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	25	1	4	19	62	5	2156	
8288	B165704	bn_109	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	17	5	2	10	3	6	353	ST-353 complex
8289	2407123	bn_114	The Netherlands	2002		gastroenteritis	human stool	sporadic case		33	39	30	82	113	47	17	825	ST-828 complex
8290	2407283	bn_116	The Netherlands	2002		gastroenteritis	human stool	sporadic case		33	39	30	82	104	56	17	827	ST-828 complex
8291	BM0222-231	bn_119	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	55	5	10	11	68	26	2899	ST-446 complex
8292	2407123	bn_129	The Netherlands	2002		gastroenteritis	human stool	sporadic case		8	17	5	2	10	59	6	400	ST-353 complex
8293	2407515	bn_131	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	21	3	2	1	5	53	ST-21 complex
8294	2407535	bn_132	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	17	2	15	23	3	12	51	ST-443 complex
8295	02K002422	bn_134	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	17	5	2	10	3	6	353	ST-353 complex
8296	BR0223-37	bn_136	The Netherlands	2002		gastroenteritis	human stool	sporadic case		1	4	2	2	6	3	17	61	ST-61 complex
8297	BO0223-1078	bn_137	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	21	3	2	1	5	53	ST-21 complex
8298	212590Z	bn_141	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	25	1	4	19	62	5	2156	
8299	212934R	bn_143	The Netherlands	2002		gastroenteritis	human stool	sporadic case		4	7	10	1	1	7	1	25	ST-45 complex
8300	212937W	bn_144	The Netherlands	2002		gastroenteritis	human stool	sporadic case		4	7	10	4	1	7	1	45	ST-45 complex
8301	2002.1.36597.3	bn_146	The Netherlands	2002		gastroenteritis	human stool	sporadic case		10	33	22	49	43	82	31	637	ST-1275 complex
8302	2002.1.36794.6	bn_147	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	4	1	2	7	1	5	48	ST-48 complex
8303	BO0224-1010	bn_148	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	21	3	2	1	5	53	ST-21 complex
8304	BR0224-32	bn_150	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	21	3	2	1	5	53	ST-21 complex
8305	02K002473	bn_151	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	21	3	2	1	5	53	ST-21 complex
8306	37926	bn_152	The Netherlands	2002		gastroenteritis	human stool	sporadic case		9	10	5	10	11	3	6	2553	ST-52 complex
8307	BE0223-373	bn_156	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	21	5	62	67	3	216	2883	
8308	BW24-153	bn_158	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	21	3	2	1	5	53	ST-21 complex
8309	B248382	bn_159	The Netherlands	2002		gastroenteritis	human stool	sporadic case		64	22	22	100	242	204	16	1539	
8310	B166011	bn_161	The Netherlands	2002		gastroenteritis	human stool	sporadic case		4	7	10	4	42	51	1	583	ST-45 complex
8311	38495	bn_162	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	21	3	2	1	5	53	ST-21 complex
8312	39362	bn_164	The Netherlands	2002		gastroenteritis	human stool	sporadic case		7	84	5	10	11	61	26	3130	
8313	2407996	bn_168	The Netherlands	2002		gastroenteritis	human stool	sporadic case		4	7	40	4	42	7	1	334	ST-45 complex
8314	2408079	bn_169	The Netherlands	2002		gastroenteritis	human stool	sporadic case		4	7	10	4	1	7	1	45	ST-45 complex
8315	BO0225-1037	bn_171	The Netherlands	2002		gastroenteritis	human stool	sporadic case		1	2	42	4	3	40	3	447	ST-42 complex
8316	BO0225-1038	bn_172	The Netherlands	2002		gastroenteritis	human stool	sporadic case		2	1	5	3	2	1	5	19	ST-21 complex
