id	isolate	aliases	country	year	isolation date	disease	source	epidemiology	penner	aspA	glnA	gltA	glyA	pgm	tkt	uncA	ST	clonal complex
24104	OXC4664	ERR278483; SC_RUN_9471_3#66	UK	2009		gastroenteritis	human stool			8	17	5	2	10	59	6	400	ST-353 complex
24105	OXC4666	ERR278484; SC_RUN_9471_3#67	UK	2009		gastroenteritis	human stool			62	4	5	2	2	1	5	572	ST-206 complex
24106	OXC4667	ERR278485; SC_RUN_9471_3#68	UK	2009		gastroenteritis	human stool			7	17	2	15	23	3	12	51	ST-443 complex
24107	OXC4668	ERR278486; SC_RUN_9471_3#69	UK	2009		gastroenteritis	human stool			2	1	21	3	2	1	5	53	ST-21 complex
24108	OXC4669	ERR278487; SC_RUN_9471_3#70	UK	2009		gastroenteritis	human stool			7	17	2	15	23	3	12	51	ST-443 complex
24109	OXC4670	ERR278488; SC_RUN_9471_3#71	UK	2009		gastroenteritis	human stool			1	4	2	2	6	3	17	61	ST-61 complex
24110	OXC4673	ERR278489; SC_RUN_9471_3#72	UK	2009		gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24111	OXC4676	ERR278490; SC_RUN_9471_3#73	UK	2009		gastroenteritis	human stool			1	355	42	4	90	25	8	4359	
24112	OXC4676_2	ERR278491; SC_RUN_9471_3#74	UK	2009		gastroenteritis	human stool			1	355	42	4	90	25	8	4359	
24113	OXC4677	ERR278492; SC_RUN_9471_3#75	UK	2009		gastroenteritis	human stool			9	2	4	62	4	5	6	257	ST-257 complex
24114	OXC4678	ERR278493; SC_RUN_9471_3#76	UK	2009		gastroenteritis	human stool			9	2	4	62	4	5	6	257	ST-257 complex
24115	OXC4679	ERR278494; SC_RUN_9471_3#77	UK	2009		gastroenteritis	human stool			2	17	2	3	2	1	5	883	ST-21 complex
24116	OXC4680	ERR278495; SC_RUN_9471_3#78	UK	2009		gastroenteritis	human stool			2	4	1	2	7	1	5	48	ST-48 complex
24117	OXC4682	ERR278496; SC_RUN_9471_3#79	UK	2009		gastroenteritis	human stool			7	53	2	10	11	3	3	574	ST-574 complex
24118	OXC4683	ERR278497; SC_RUN_9471_3#80	UK	2009		gastroenteritis	human stool			4	7	40	4	42	51	1	267	ST-283 complex
24119	OXC7514	ERR278498; SC_RUN_9471_3#81	UK	2012		gastroenteritis	human stool			2	1	12	3	2	1	5	50	ST-21 complex
24120	OXC7515	ERR278499; SC_RUN_9471_3#82	UK	2012		gastroenteritis	human stool			9	17	5	10	350	3	3	2274	
24121	OXC7516	ERR278500; SC_RUN_9471_3#83	UK	2012		gastroenteritis	human stool			8	17	5	2	10	59	6	400	ST-353 complex
24122	OXC7517	ERR278501; SC_RUN_9471_3#84	UK	2012		gastroenteritis	human stool			2	84	2	68	2	68	5	2258	
24123	OXC7518	ERR278502; SC_RUN_9471_3#85	UK	2012		gastroenteritis	human stool			7	17	2	15	23	3	12	51	ST-443 complex
24124	OXC7520	ERR278503; SC_RUN_9471_3#86	UK	2012		gastroenteritis	human stool			7	17	5	2	10	3	6	353	ST-353 complex
24125	OXC7521	ERR278504; SC_RUN_9471_3#87	UK	2012		gastroenteritis	human stool			24	2	2	2	10	3	3	5136	ST-464 complex
24126	OXC7522	ERR278505; SC_RUN_9471_3#88	UK	2012		gastroenteritis	human stool			33	39	30	82	113	47	17	825	ST-828 complex
24127	OXC7229	ERR483977; SC_RUN_12082_1#27	UK	2012		gastroenteritis	human stool			4	7	10	4	1	7	1	45	ST-45 complex
24128	OXC7524	ERR278507; SC_RUN_9471_3#90	UK	2012		gastroenteritis	human stool			2	4	1	2	7	1	5	48	ST-48 complex
24129	OXC7525	ERR278508; SC_RUN_9471_3#91	UK	2012		gastroenteritis	human stool			2	4	1	2	681	1	5	6754	ST-48 complex
24130	OXC7526	ERR278509; SC_RUN_9471_3#92	UK	2012		gastroenteritis	human stool			2	1	21	3	2	1	5	53	ST-21 complex
24131	OXC7527	ERR278510; SC_RUN_9471_3#93	UK	2012		gastroenteritis	human stool			1	6	60	24	12	28	1	508	ST-508 complex
24132	OXC7528	ERR278511; SC_RUN_9471_3#94	UK	2012		gastroenteritis	human stool			9	25	2	10	22	3	6	52	ST-52 complex
24133	OXC7529	ERR278512; SC_RUN_9471_3#95	UK	2012		gastroenteritis	human stool			2	1	12	3	2	1	5	50	ST-21 complex
24134	OXC7530	ERR278513; SC_RUN_9471_3#96	UK	2012		gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24135	CSAH58		Sweden	2011		gastroenteritis	human stool			24	17	389	10	23	3	12	6522	ST-443 complex
24136	CSA-VV20		Sweden	2011			environmental waters			1	33	20	18	116	10	47	6523	
24137	CSAH683		Sweden	2012		gastroenteritis	human stool			2	4	391	4	2	1	5	6524	ST-21 complex
24138	CSAH987		Sweden	2012		gastroenteritis	human stool			10	81	50	99	120	521	52	6525	ST-677 complex
24139	CSAH1207		Sweden	2012		gastroenteritis	human stool			4	7	392	4	1	7	1	6526	ST-45 complex
24140	CSAH1748		Sweden	2012		gastroenteritis	human stool			18	451	229	18	656	114	16	6527	
24141	CSAH1496		Sweden	2012		gastroenteritis	human stool			10	451	50	99	120	76	52	6514	ST-677 complex
24142	CSAH1597		Sweden	2012		gastroenteritis	human stool			2	451	391	3	2	1	5	6528	ST-21 complex
24143	CSAH1153		Sweden	2012		gastroenteritis	human stool			10	452	50	99	120	76	52	6529	ST-677 complex
24144	BKT49279-12		Sweden	2012		carrier	chicken			104	7	10	4	657	7	1	6530	ST-45 complex
24145	BKT48375-12		Sweden	2012		carrier	chicken			2	1	1	3	2	1	387	6531	ST-21 complex
24146	CSAH891		Sweden	2012		gastroenteritis	human stool			346	2	3	4	5	9	3	6532	ST-42 complex
24147	CSAH1934		Sweden	2012		gastroenteritis	human stool			2	453	391	3	2	1	5	6533	ST-21 complex
24148	CSAH1538		Sweden	2012		gastroenteritis	human stool			2	454	1	3	2	1	5	6534	ST-21 complex
24149	BKT75318-11		Sweden	2011		carrier	chicken			37	52	57	26	658	29	23	6535	ST-692 complex
24150	CSAH1349		Sweden	2012		gastroenteritis	human stool			10	453	50	99	120	76	52	6536	ST-677 complex
24151	CSA-VV119		Sweden	2012			environmental waters			2	52	29	470	127	99	23	6537	ST-702 complex
24152	CSAH692		Sweden	2012		gastroenteritis	human stool			33	39	103	79	104	43	17	6538	ST-828 complex
24153	CSAH810		Sweden	2012		gastroenteritis	human stool			33	262	30	115	104	43	17	6539	ST-828 complex
24154	CSAH939		Sweden	2012		gastroenteritis	human stool			33	39	30	517	104	43	17	6540	ST-828 complex
24155	CSA-VV6		Sweden	2011			environmental waters			86	177	88	415	659	522	76	6541	
24156	CSA-VV22		Sweden	2011			environmental waters			89	273	86	276	660	129	95	6542	
